p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,density_confidence,combined_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
dirk skock,magnus åberg,-19.0,-8.0,11.0,0.06999081905615444,0.10916980761447946,0.0797855661957357,13.287588193498472,8.16004179041319,1.8
carsten lindhard jensen,volker sach,-18.0,-5.0,13.0,0.1119227529043084,0.07568785974835197,0.10286402961531929,7.934733769950949,12.212158506328672,-7.8
graham king,magnus edby,-32.0,-43.0,11.0,0.08610891552433965,0.06789807686260582,0.08155620585890619,10.61319932913728,13.727957641915774,-26.4
robin sach,vít zobač,25.0,29.0,4.0,0.04634423299646617,0.13421899529966627,0.0683129235722662,20.577657787027174,6.450510248324638,-2.6
lucie hanáčková,michael canov,22.0,34.0,12.0,0.04539367030403378,0.05442624550706261,0.04765181410479098,21.029503084951862,17.373488574923567,20.6
jan port,andreas kotala,5.0,9.0,4.0,0.03292053091481061,0.11193340381305235,0.05267374913937105,29.37618082733016,7.933883594482381,7.2
tomas jirouch,daniel jendřejek,-8.0,22.0,30.0,0.09015847529982439,0.0777945276722837,0.08706748839293921,10.091580649234292,11.854374593192313,26.4
thomas nussbächer,ola emriksson,22.0,29.0,7.0,0.04531938699958291,0.09978959484995754,0.05893693896217657,21.06561178793533,9.021084878674857,9.8
damian roman,volker sach,-14.0,-10.0,4.0,0.04953049914523901,0.09116835265471399,0.059939962522607755,19.189580506097574,9.968718539725568,-2.4
guidi weijel,jonathan cassier,-23.0,-10.0,13.0,0.059128705094103375,0.07385925424037397,0.06281134238067103,15.912259424732868,12.539264785229394,-25.0
šimon borovička,jáchym justa,24.0,12.0,12.0,0.06041855896460306,0.11078568434985951,0.07301034031091717,15.551205741035002,8.026436997419406,17.6
leon griffiths,jakub svec,37.0,19.0,18.0,0.17626336747692753,0.09561078927162597,0.15610022292560216,4.673328578219168,9.45907065110659,26.6
dirk skock,carsten lindhard jensen,16.0,32.0,16.0,0.06509968065100855,0.11178143003199649,0.07677011799625554,14.361058456812993,7.946029762848431,7.4
malte thyregod,matěj volf,27.0,21.0,6.0,0.06463270971071021,0.08454240638919906,0.06961013388033242,14.472042012100435,10.828383443409503,-1.4
markus arvidsson,tomas jirouch,-38.0,-25.0,13.0,0.10855186735489347,0.04917697674200923,0.09370814470167241,8.212186067059125,19.33471893252344,-30.4
magnus edby,anders lätt,20.0,33.0,13.0,0.04205712932408787,0.10827094330256323,0.058610582818706715,22.777181564012697,8.236088367730382,3.0
bruno gallert,daniel kürzl,-3.0,11.0,14.0,0.04749707671793847,0.11156621295060927,0.06351436077610617,20.0539272961682,7.963287123877757,24.2
miłosz dużyński,rostislav kniezek,7.0,5.0,2.0,0.057527740961173954,0.06543387911711271,0.05950427550015864,16.382917933017914,14.282603041311564,7.0
benjamin radl,christian schupp,-11.0,-10.0,1.0,0.07154661026288332,0.08696095494665282,0.0754001964338257,12.976902558006667,10.499413738193898,-2.0
emilia kostiainen,carola von heimburg,-9.0,-15.0,6.0,0.06784052838047995,0.0673764947255736,0.06772451996675337,13.740451229854134,13.841971284986386,-23.0
filip hušek,per-axel giertz,-20.0,-15.0,5.0,0.06266210074094147,0.0728648418000108,0.0652127860057088,14.958609561052125,12.724039952555717,7.2
thomas nussbächer,jonathan cassier,-5.0,-21.0,16.0,0.1466874491138732,0.08837383410445288,0.1321090453615181,5.817215828899594,10.315566537693233,-15.4
balázs döbörhegyi,tomáš kolár,-18.0,-9.0,9.0,0.07127991218251876,0.09474487332125582,0.07714615246720302,13.029197979921863,9.554660795305027,-8.8
mollie patterson,anaïs ben mansour,-14.0,-8.0,6.0,0.08514768275821945,0.0813732103782167,0.08420406466321877,10.744300814850634,11.289056746711523,-4.4
kevin kiss,máté horváth,18.0,13.0,5.0,0.058763071060184455,0.0927864604795075,0.06726891841501521,16.01749044014074,9.777434496715784,-2.2
oliver bodem,stefan steckermeier,2.0,-2.0,4.0,0.05787843597325596,0.0984056135464381,0.0680102303665515,16.277591959500644,9.162021900591016,-24.2
jayan fichtmüller,jános palotai,41.0,34.0,7.0,0.03577016270919868,0.092604744117827,0.04997880806135576,26.956260868302934,9.798582832080777,-1.4
zdenek dana,christoph steckermeier,-19.0,-13.0,6.0,0.05057575426411982,0.10050728690125842,0.06305863742340446,18.772320048411704,8.949527351011197,0.0
kirsten i. kaptein,holly ranson,-20.0,-12.0,8.0,0.08920766383649917,0.11374238428434712,0.09534134394846117,10.209799214480176,7.791797413882918,-11.4
istván sági,marcel justa,20.0,12.0,8.0,0.14942992956379245,0.06049433215281941,0.1271960302110492,5.692099788303083,15.530474251270723,0.0
varga marcell,vincent leonardi,33.0,36.0,3.0,0.052224016796324345,0.10615285102414006,0.06570622535327827,18.148278155241066,8.420378165562331,-1.8
leon griffiths,malte thyregod,18.0,18.0,0.0,0.04493063705291961,0.0881706151575746,0.055740631579083356,21.256528408938276,10.341647080638424,15.4
dirk skock,anders lätt,22.0,24.0,2.0,0.1119227529043084,0.09319677370379954,0.10724125810418118,7.934733769950949,9.729985172858306,21.2
laureline tschanz,karolin radl,25.0,5.0,20.0,0.040619633483900644,0.1075553125811049,0.05735355325820171,23.618636709175235,8.297541664861267,-8.4
jakub svec,matěj volf,-20.0,7.0,27.0,0.04984025601939068,0.132566752217925,0.07052188006902427,19.06410239166796,6.543369534739083,-2.4
adam borkowski,miroslav ambrús,-14.0,-5.0,9.0,0.050756599277719736,0.05870706948402867,0.05274421682929697,18.701871564097537,16.033723685902107,4.8
oliver bodem,kevin kiss,-3.0,-22.0,19.0,0.10553145172454596,0.08335392052257481,0.09998706892405318,8.475848040166836,10.997036176950658,-30.4
david dvorský,daniel jendřejek,-3.0,6.0,9.0,0.06049381734660176,0.09835192749460027,0.06995834488360139,15.53061492665374,9.167568907634292,4.0
jayan fichtmüller,christoph steckermeier,-3.0,6.0,9.0,0.036409881785124436,0.07579858154196273,0.04625705672433401,26.465071320516028,12.192859017373454,20.0
stefan steckermeier,máté horváth,26.0,-1.0,27.0,0.05495207715213913,0.08599983836792124,0.06271401745608465,17.19767426136453,10.62792883077103,-7.8
lokesh chugh / kranti nanda,vikramaditya chaufla/ nikhil mansukhani,-8.0,-10.0,2.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
husain lunavad / mohammed aliasger vaziri,manish bhati / homiyar dumasia,-26.0,-26.0,0.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
sanjeev kumar / ashutosh avinash pednekar,taher haji / akberali sadriwala,37.0,41.0,4.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
patrick moran / leigh sands,dmitry dubovenko / sergei seregin,22.0,17.0,5.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
uday shankar gaikwad / sugato thakur,jayraj singh arora / husain najmi,23.0,19.0,4.0,0.0413813224869547,1.0,0.281035991865216,23.165491576912412,0.0,-12.6
