p1_name,p2_name,y_true,y_pred_catboost,abs_error,consistency_confidence,neighbor_target_std,mean_neighbor_distance,local_mean_target
stan soels,maroun nader,-1.0,8.0,9.0,0.04091630172557395,23.44013651837378,2.6279584040249593,-1.6
johnny bispham,adit patel,15.0,2.0,13.0,0.220069985236494,3.54400902933387,3.7154221880656984,-18.8
martin björkryd,naveen yarlagadda,13.0,21.0,8.0,0.0676006749083351,13.792751719653333,2.034211187058394,22.6
julien castel,balázs döbörhegyi,32.0,17.0,15.0,0.0380322459453912,25.293477420078087,3.3192758908189894,5.8
ali reza panahi,michaël bouton,-15.0,0.0,15.0,0.12363968437586802,7.08801805866774,3.4243893781468424,3.4
adam borkowski,mostafa kazemi,1.0,2.0,1.0,0.11467753628408724,7.720103626247513,7.733790445441535,7.0
alexander kaess,igor rapeneau,-22.0,-14.0,8.0,0.3378844345868107,1.9595917942265424,3.01070049584139,-15.6
prashant sen,dariusz adam walczak,25.0,19.0,6.0,0.04322954196566539,22.132329294495868,2.472508327715106,32.4
yves bret,florian prorok,22.0,14.0,8.0,0.06090331227368266,15.419468213917106,1.800042774095474,11.2
andre damde,raif fontanelli,-15.0,-21.0,6.0,0.04361640708183658,21.927152117865194,2.390647650462463,-16.0
jiří borovička,rafał szlazak,-13.0,-23.0,10.0,0.08846897582648351,10.303397497913007,5.307442071306327,-31.8
bastian holzhäuser,tobias vogelsang,-23.0,-3.0,20.0,0.09766533392556756,9.239047569960876,1.8056786346697067,9.2
roland pichler,jamie watkin-rees,-18.0,-28.0,10.0,0.09880052799018374,9.121403400793104,2.638210171480455,-14.0
leon sam,stefan urban,3.0,18.0,15.0,0.03908112176712308,24.587801853764805,2.620923983762198,9.2
viktor olivemark,jack bishop,8.0,18.0,10.0,0.0545630092695909,17.327434893832383,1.5413252274064206,5.6
kath chan,marine noga,6.0,21.0,15.0,0.052848386801298816,17.92205345377588,1.4874540802120957,3.0
bertrand carlier,tze ho ho,-24.0,-8.0,16.0,0.1091306010478888,8.16333265278342,2.3333728558247797,-10.6
martin holdt,guidi weijel,-27.0,-10.0,17.0,0.0524600757834246,18.062115047801022,2.5039468897786366,22.6
stephane quiquempois,james hempstead,4.0,-8.0,12.0,0.04135178623769175,23.182752209347363,4.534929631931059,17.4
james langworthy,chun cheung,-13.0,-17.0,4.0,0.0591111356825853,15.917286200857232,2.446472374919151,-26.2
tom branke,henrik hakansson,14.0,23.0,9.0,0.035315810589087636,27.315929418564547,2.5659665693000497,10.2
rostislav kniezek,patrick moran,5.0,0.0,5.0,0.07271120300385973,12.753038853543888,2.4509693929406975,5.6
anders lytoft fyrst,ross wilson,14.0,14.0,0.0,0.06788075877062005,13.731715115017497,2.0306264102870513,-3.2
steffen neumann,steven wai kit cheng,7.0,1.0,6.0,0.04781069369934123,19.915822855207363,3.290168447879293,6.4
thomas cavé,jonathan ritter,-22.0,-14.0,8.0,0.05376344086021505,17.6,1.9852017740704848,-2.2
anant gupta,chung him samuel li,12.0,10.0,2.0,0.05187887952701821,18.275666882497067,7.958794663905181,17.0
jean michot,jan port,-12.0,-29.0,17.0,0.04830029629893735,19.703806738800502,3.127761928227532,-23.4
virág sákovics,mathilde deleuran,17.0,11.0,6.0,0.0474386888036246,20.079840636817814,2.8352998220590147,-6.0
alina reissenauer,satarra thaker,-27.0,-4.0,23.0,0.1325878204191017,6.54217089351845,1.4052308229683705,1.0
kate marian russell,mollie patterson,-9.0,-7.0,2.0,0.08514768275821945,10.744300814850634,5.607560530493289,-3.6
julia yang,nefeli solomon,18.0,24.0,6.0,0.10742256365573774,8.309031231136395,2.6781136796744227,28.4
victoria t,susanne docter,-8.0,-4.0,4.0,0.05366517601021324,17.634057956125698,1.870544618906108,-17.2
manuela stegmann,saga frozkhan,28.0,0.0,28.0,0.09953669349726513,9.046546302318914,3.934135482403066,-0.6
shivani kejriwal,segolene antoni,-7.0,-3.0,4.0,0.04843346156984026,19.6468827043885,1.3830688864793923,-15.0
kirsten atkinson,tung yu yip,24.0,25.0,1.0,0.03949518912899506,24.319539469323836,3.157247946683623,12.6
tugsjargal dashzeveg,nora barta-boncz,-21.0,-20.0,1.0,0.06016666399923173,15.620499351813308,2.9391638085689307,6.0
elcke mols,berit schmaul-klaiber,20.0,29.0,9.0,0.06768033633279323,13.775340286178052,3.582307861647513,10.2
ellie thomas,pauline vincent,12.0,20.0,8.0,0.15762538774872842,5.344155686354955,2.6367983162103044,7.2
karen king,crystal ho suet ying,-40.0,-10.0,30.0,0.10649093350664571,8.390470785361213,10.78554797999551,-40.0
florian gempf,michael gonnon,-21.0,-14.0,7.0,0.0591111356825853,15.917286200857232,3.9764999129845693,-5.8
antonin bogaert,jakob niemeyer,45.0,41.0,4.0,0.07891296339198385,11.6721891691319,1.8354667066142585,26.6
seppo raiski,françois bausier,35.0,38.0,3.0,0.05266238517487628,17.988885457415087,3.677634369426452,20.0
bethany pye,karolin radl,42.0,46.0,4.0,0.11939392445382603,7.37563556583431,3.842041551861621,18.0
cameron leighton,luca hamon,-16.0,-11.0,5.0,0.05380948641228622,17.58408371226661,3.9870658672486328,-6.0
varun motasha,peter browning,-6.0,0.0,6.0,0.07702189160698593,11.983321743156194,3.689528218184308,18.0
dave edgar,rahul kejriwal,28.0,24.0,4.0,0.06845179516266667,13.6088206689632,1.9581217230272965,5.0
alexander kostka,igor rapeneau,-14.0,-20.0,6.0,0.07497062584071505,12.338557452149745,2.89331099931593,-17.4
jörgen ström,zoltan matecsa,-16.0,-3.0,13.0,0.07348654095960742,12.607934009979589,4.0665161900229325,5.8
andy stenson,mark de rijter,14.0,15.0,1.0,0.053691326280501966,17.624982269494627,2.7739697056513095,1.4
christoph latzke,thomas weiss,28.0,22.0,6.0,0.05839581272817413,16.1245154965971,1.3329774728582193,1.0
patrick comte,bastian holzhäuser,-42.0,-24.0,18.0,0.03282356961072241,29.4659125092029,1.9167261141295129,-26.4
viktor olivemark,leigh ware,22.0,10.0,12.0,0.07142072346177103,13.001538370516007,2.042833883335902,-14.4
simon bacha,andre damde,13.0,16.0,3.0,0.04248935686529327,22.535305633605237,3.1835741048330712,8.4
logan macey,david björkryd,16.0,9.0,7.0,0.06607792209319684,14.133647795243803,1.8707059973673588,10.2
raif fontanelli,anders krog,13.0,12.0,1.0,0.07199265218853,12.890306435457616,3.4734346255374846,27.8
daniel naumescu,markus perschinka,-10.0,-20.0,10.0,0.04738498610230802,20.1037309970065,2.5317665335920276,-5.2
leo hörtinger,matěj volf,-22.0,-28.0,6.0,0.04583114856969052,20.819221887476967,2.770302601625863,-16.6
sebastien guicherd,thomas klaiber,23.0,20.0,3.0,0.04738498610230802,20.1037309970065,1.6027815952487523,3.2
aris solomon,benjamin radl,-46.0,-36.0,10.0,0.05042384303283946,18.83188785013335,3.3919974188706035,-21.4
per-axel giertz,masykur pua,22.0,24.0,2.0,0.046141024709344405,20.67268729507608,3.1553197673437667,-2.8
moritz walland,ollie barton,-45.0,-41.0,4.0,0.040101725436400254,23.93658288060349,3.0407111424821505,-19.8
paul twisterling,péter burcsi,13.0,5.0,8.0,0.046067056028217986,20.707486568871655,2.870339952071336,3.0
chung hang tyress yau,botond francia,-29.0,-24.0,5.0,0.03831914845960539,25.09661331733826,2.8061798142739414,-17.6
arnaud le toux,martin holdt,31.0,24.0,7.0,0.04831451060359744,19.697715603592208,1.9926969036637647,17.0
mathias fagerström,emmanuel du rosier,24.0,36.0,12.0,0.05023589854380642,18.906083676954356,2.322456453203635,22.4
morten lindholm,resat akdag,21.0,15.0,6.0,0.09198641791168036,9.871170143402452,3.185455266727582,-15.4
vinay yadav,jon foulds,-22.0,-24.0,2.0,0.05089492537058502,18.648324321504067,3.154749497713283,-2.2
ed westmacott,tak fung chan,35.0,35.0,0.0,0.0797369927156037,11.541230437002806,2.32976052552247,24.0
anant gupta,leon sam,36.0,18.0,18.0,0.06549282914802357,14.268847185389575,4.1640666687871635,10.0
stefan nilsson,jiří borovička,43.0,30.0,13.0,0.08104758722520142,11.338430226446693,2.4584590183796875,30.2
kai zeuner,nick macey,10.0,17.0,7.0,0.05796093526040445,16.252999723128035,3.85864992976662,14.2
carsten krog,bo platzack,17.0,27.0,10.0,0.0465586604309024,20.478281177872326,1.82616875423128,-11.8
alina reissenauer,romy nothegger,24.0,11.0,13.0,0.28719665294538205,2.481934729198171,5.166021182372751,20.2
