iter	MAE
249	7.935169443
250	7.934429189
251	7.933092544
252	7.931747078
253	7.930462416
254	7.928953888
255	7.927790226
256	7.925933976
257	7.924555625
258	7.923167061
259	7.921599021
260	7.920604253
261	7.918131931
262	7.916790438
263	7.907984967
264	7.906948244
265	7.905543236
266	7.904675621
267	7.903143695
268	7.901615232
269	7.90070079
270	7.899524764
271	7.898639117
272	7.89735508
273	7.896715854
274	7.891393611
275	7.890105913
276	7.88877504
277	7.887876757
278	7.886815525
279	7.885918299
280	7.885150395
281	7.884203609
282	7.883060926
283	7.880522154
284	7.879305533
285	7.878169674
286	7.876787268
287	7.875633871
288	7.874044952
289	7.872808338
290	7.871907128
291	7.869460185
292	7.868584006
293	7.867841321
294	7.866764511
295	7.865084077
296	7.863982794
297	7.862492615
298	7.861831742
299	7.860581744
300	7.859261551
301	7.857822268
302	7.857129539
303	7.854197746
304	7.85359029
305	7.852745021
306	7.84792736
307	7.847164601
308	7.846002932
309	7.844183095
310	7.838842292
311	7.836105982
312	7.835200252
313	7.83382753
314	7.832761339
315	7.831117079
316	7.830380688
317	7.829405631
318	7.826938943
319	7.822130251
320	7.821292726
321	7.816281712
322	7.814469334
323	7.813375702
324	7.812391337
325	7.807924661
326	7.807386634
327	7.806433257
328	7.804880513
329	7.804044142
330	7.79706608
331	7.795990634
332	7.794177624
333	7.793228679
334	7.791537606
335	7.790099551
336	7.789082578
337	7.785331054
338	7.777909459
339	7.774644443
340	7.769714326
341	7.767709372
342	7.766397372
343	7.762482226
344	7.760727423
345	7.759904623
346	7.75864952
347	7.75701708
348	7.756080898
349	7.755474052
350	7.754316944
351	7.753420017
352	7.752314998
353	7.751167276
354	7.749661147
355	7.748763274
356	7.747076384
357	7.745985931
358	7.744485674
359	7.743295883
360	7.741951253
361	7.739197419
362	7.738207019
363	7.736880746
364	7.735695057
365	7.734797961
366	7.73383504
367	7.732829032
368	7.731618987
369	7.730584749
370	7.727647336
371	7.723358201
372	7.721981398
373	7.717785429
374	7.716446224
375	7.715393728
376	7.713670642
377	7.712515678
378	7.7075407
379	7.706516397
380	7.705104676
381	7.701226185
382	7.700376335
383	7.699213166
384	7.698186297
385	7.696863917
386	7.69336678
387	7.692359935
388	7.691481204
389	7.690184214
390	7.688859642
391	7.687712762
392	7.683250471
393	7.682211289
394	7.681240404
395	7.679436069
396	7.678548112
397	7.67691228
398	7.675310538
399	7.670567605
400	7.669742345
401	7.666226239
402	7.665024001
403	7.663449491
404	7.662052905
405	7.661112472
406	7.660003385
407	7.654246571
408	7.652992783
409	7.651703429
410	7.6493285
411	7.647356291
412	7.643208961
413	7.641732851
414	7.638194986
415	7.633353611
416	7.630282121
417	7.629190426
418	7.628277798
419	7.624562435
420	7.622822497
421	7.619217923
422	7.617452507
423	7.616611192
424	7.613460403
425	7.6121494
426	7.610942228
427	7.607510183
428	7.604962955
429	7.604069661
430	7.598886165
431	7.597730525
432	7.596694723
433	7.595453869
434	7.59451941
435	7.593361901
436	7.591860901
437	7.589554427
438	7.587431789
439	7.580432753
440	7.579189804
441	7.578059155
442	7.576533967
443	7.575550179
444	7.573153342
445	7.571459581
446	7.57024537
447	7.569153549
448	7.56569001
449	7.561155341
450	7.559994704
451	7.558792537
452	7.557175648
453	7.555804403
454	7.554580081
455	7.552914712
456	7.551898842
457	7.550964778
458	7.549225559
459	7.547932384
460	7.546695478
461	7.545953044
462	7.544157436
463	7.540555624
464	7.539428492
465	7.538306979
466	7.536991789
467	7.535737653
468	7.530080371
469	7.52866658
470	7.527580603
471	7.525910521
472	7.524496896
473	7.519593019
474	7.516996556
475	7.515869435
476	7.515014588
477	7.511908544
478	7.510706063
479	7.507068023
480	7.50561627
481	7.503756557
482	7.50283407
483	7.501460327
484	7.500788832
485	7.500026839
486	7.498839389
487	7.495870796
488	7.494809226
489	7.49383458
490	7.493006842
491	7.49213949
492	7.490127628
493	7.488590701
494	7.487537221
495	7.484421269
496	7.48333108
497	7.482461065
498	7.481401429
499	7.479969078
500	7.478651344
501	7.477609976
502	7.473004928
503	7.471861997
504	7.470776447
505	7.469698775
506	7.466708294
507	7.465739018
508	7.464857342
509	7.463272215
510	7.462139453
511	7.460588975
512	7.458087699
513	7.457022129
514	7.456460308
515	7.455357697
516	7.45439041
517	7.450439546
518	7.449698209
519	7.44834865
520	7.447264147
521	7.44682505
522	7.44511475
523	7.443457637
524	7.441942406
525	7.441123814
526	7.439706277
527	7.439072046
528	7.435422978
529	7.434692808
530	7.434053003
531	7.432756029
532	7.431207432
533	7.429977875
534	7.428923025
535	7.427813628
536	7.427156887
537	7.423672166
538	7.422395877
539	7.420880676
540	7.419542932
541	7.418408205
542	7.415940609
543	7.414647656
544	7.413494628
545	7.41241436
546	7.41156023
547	7.410033002
548	7.406508566
549	7.404681682
550	7.403681246
551	7.401004647
552	7.399108378
553	7.397828139
554	7.396612886
555	7.395829826
556	7.395081416
557	7.394080231
558	7.392780422
559	7.388982187
560	7.387613729
561	7.38680941
562	7.385743913
563	7.384659599
564	7.383297939
565	7.382540177
566	7.381278407
567	7.380238342
568	7.378668604
569	7.376121437
570	7.374661605
571	7.373845334
572	7.37301264
573	7.37192856
574	7.371174488
575	7.370543971
576	7.36952153
577	7.368642488
578	7.367051226
579	7.365893533
580	7.364614809
581	7.363545824
582	7.362573473
583	7.360412845
584	7.359496618
585	7.358624556
586	7.356769594
587	7.354343764
588	7.352811808
589	7.351653095
590	7.350978764
591	7.349957991
592	7.349088375
593	7.347645412
594	7.346604349
595	7.34564668
596	7.344175383
597	7.343343566
598	7.342223574
599	7.341535491
600	7.340861471
601	7.340084495
602	7.339119363
603	7.336471393
604	7.335883297
605	7.334967542
606	7.334185626
607	7.332272662
608	7.331554904
609	7.330877073
610	7.329897015
611	7.328410426
612	7.3269843
613	7.326212847
614	7.325129557
615	7.324041765
616	7.322559734
617	7.321395032
618	7.320807466
619	7.319804503
620	7.318961372
621	7.317706507
622	7.316513785
623	7.315345193
624	7.31385332
625	7.312977749
626	7.312028172
627	7.310882309
628	7.309565311
629	7.308291596
630	7.306964097
631	7.306362188
632	7.304826231
633	7.30394444
634	7.302537248
635	7.301742054
636	7.300761403
637	7.299312142
638	7.298529107
639	7.297639
640	7.296230619
641	7.295419477
642	7.293806227
643	7.292920379
644	7.292369553
645	7.291307425
646	7.290394765
647	7.28951209
648	7.286522092
649	7.285717252
650	7.284855644
651	7.283516782
652	7.282652473
653	7.281264931
654	7.280015631
655	7.279127988
656	7.278098259
657	7.277133973
658	7.276136246
659	7.275509465
660	7.274497964
661	7.273295274
662	7.272315454
663	7.271169079
664	7.27047023
665	7.268295465
666	7.267077705
667	7.2643738
668	7.263593469
669	7.262599148
670	7.261714699
671	7.260702012
672	7.259860104
673	7.258933601
674	7.257961698
675	7.257075443
676	7.256348071
677	7.255416601
678	7.25435876
679	7.253542502
680	7.252683243
681	7.251758334
682	7.250674375
683	7.249851899
684	7.24923218
685	7.247914566
686	7.247139891
687	7.245290726
688	7.244090175
689	7.243222939
690	7.242218046
691	7.240968086
692	7.238704055
693	7.237468844
694	7.237019224
695	7.235600558
696	7.233486795
697	7.232781369
698	7.232084301
699	7.230673964
700	7.229311455
701	7.228586478
702	7.22821223
703	7.227537629
704	7.226559616
705	7.225727659
706	7.224688321
707	7.223989441
708	7.223221889
709	7.222581652
710	7.221291314
711	7.220232428
712	7.219510268
713	7.218400737
714	7.217607671
715	7.216578455
716	7.215746948
717	7.215011061
718	7.214144992
719	7.213428735
720	7.212388793
721	7.211537009
722	7.210637657
723	7.209738568
724	7.209074714
725	7.208126692
726	7.207403226
727	7.206676432
728	7.206169067
729	7.205578547
730	7.203328709
731	7.202556704
732	7.201229406
733	7.200566565
734	7.199166014
735	7.198591193
736	7.197380142
737	7.196334915
738	7.195813252
739	7.195271722
740	7.194322483
741	7.193396837
742	7.191293893
743	7.190517016
744	7.18943419
745	7.18839744
746	7.188003275
747	7.186734699
748	7.18592909
749	7.183844481
750	7.183143215
751	7.182465194
752	7.181882012
753	7.18111674
754	7.180458635
755	7.179610456
756	7.17876926
757	7.178229788
758	7.177509122
759	7.176511174
760	7.175799188
761	7.174391274
762	7.173471237
763	7.172287284
764	7.171134003
765	7.170105039
766	7.169568594
767	7.169219827
768	7.166744566
769	7.165946942
770	7.165253691
771	7.16412106
772	7.16338914
773	7.163066522
774	7.162099785
775	7.161561263
776	7.160043493
777	7.159130584
778	7.158120476
779	7.156808498
780	7.155980237
781	7.155317175
782	7.154494877
783	7.153424327
784	7.15259216
785	7.151991449
786	7.151383531
787	7.149562155
788	7.148246312
789	7.14747421
790	7.14664133
791	7.145979365
792	7.145241298
793	7.144075508
794	7.143335609
795	7.1425093
796	7.14162018
797	7.1406883
798	7.139773168
799	7.138335208
