y_true,y_pred,abs_error,knn_confidence,radius_confidence,knn_mean_neighbor_distance,radius_neighbor_count,radius_neighbor_target_std
-5.0,-3.5983778740671766,1.4016221259328234,0.21325848305754647,0.18181818181818182,3.6891452366289053,2.0,9.0
10.0,-16.456246340213955,26.456246340213955,0.24403348036533104,0.47058823529411764,3.0977983779231733,8.0,23.293977225883946
10.0,13.996498582328842,3.996498582328842,0.21554628774950252,0.25,3.639374727539505,3.0,13.767917618708923
5.0,5.21515797879627,0.2151579787962703,0.2551642178966259,0.5,2.919044794929388,9.0,13.291601358251258
-25.0,-0.9781805199921355,24.021819480007863,0.20812938636692296,0.3076923076923077,3.8047035426176867,4.0,14.821858857781638
-5.0,7.0145987725009205,12.014598772500921,0.22060567637475426,0.25,3.5329749280850256,3.0,22.691163233490013
30.0,-7.721944841563239,37.72194484156324,0.2237942162795114,0.35714285714285715,3.4683907235164373,5.0,16.69730517179344
-12.0,4.049063912407938,16.049063912407938,0.19580661557910864,0.25,4.107079743156001,3.0,5.90668171555645
14.0,15.165203379332755,1.1652033793327554,0.18790608250293503,0.3076923076923077,4.32180750447171,4.0,6.869315832017043
9.0,-8.85914743712227,17.859147437122267,0.2841643415642963,0.71875,2.51909037740309,23.0,17.485073299239357
25.0,21.506900931988252,3.493099068011748,0.2310810028286619,0.4,3.3274868455606605,6.0,9.775252199076785
20.0,14.39934449133899,5.60065550866101,0.12749073799980257,0.0,6.843707046401665,0.0,
22.0,9.411006305335347,12.588993694664653,0.15555259983391634,0.18181818181818182,5.428693580613252,2.0,14.0
3.0,17.381084048462224,14.381084048462224,0.27923160131262054,0.6666666666666666,2.58125654581777,18.0,18.49491087826761
23.0,0.4342560564888344,22.565743943511166,0.2589565716716853,0.47058823529411764,2.861651370901824,8.0,11.648497757221744
21.0,15.449743697363667,5.550256302636333,0.2555579260895756,0.5,2.913007181195742,9.0,18.32424016917967
-27.0,-13.523326800612228,13.476673199387772,0.1752065115597735,0.1,4.7075504277638665,1.0,0.0
37.0,34.73210935909802,2.2678906409019817,0.2099582263154735,0.3076923076923077,3.7628521994534583,4.0,2.947456530637899
12.0,3.8420891404542834,8.157910859545716,0.27848984159832074,0.6666666666666666,2.5907952486193304,18.0,16.13217014478359
10.0,6.2983970244430125,3.7016029755569875,0.2367460467310746,0.47058823529411764,3.2239353679089033,8.0,13.77441015071063
-17.0,23.012570672493975,40.01257067249398,0.19369101140787623,0.1,4.16286219340448,1.0,0.0
-4.0,25.29172737780825,29.29172737780825,0.2868998188678831,0.6896551724137931,2.4855372301942733,20.0,14.944146011063996
16.0,-2.4907655457085625,18.490765545708562,0.2841805934790967,0.6666666666666666,2.5188891252475916,18.0,15.526162706704504
10.0,7.162567878120272,2.8374321218797283,0.21393059321192068,0.4,3.6744132523831925,6.0,23.828670872618044
-36.0,-7.3595194752821165,28.640480524717884,0.30806809458736906,0.625,2.246035592680945,15.0,13.078566010419069
37.0,6.405176442945549,30.59482355705445,0.3257042535731977,0.8085106382978723,2.070270004242555,38.0,20.554518411940826
16.0,13.280301622031184,2.7196983779688164,0.2889197783145649,0.7,2.4611683763346863,21.0,19.81375870483956
-33.0,-2.280330779474904,30.719669220525095,0.12590823022823103,0.0,6.942292558535073,0.0,
-16.0,4.067946387063292,20.06794638706329,0.27955649699702817,0.5263157894736842,2.577094471929338,10.0,16.371927192606254
-15.0,27.71057803866508,42.710578038665076,0.2365556010066063,0.4,3.2273359656027463,6.0,11.996527275285406
-11.0,12.522978718915711,23.52297871891571,0.20475140258063787,0.25,3.883971427771622,3.0,6.128258770283411
-19.0,7.890839065982353,26.89083906598235,0.2633779624950026,0.5714285714285714,2.7968248767926975,12.0,17.373351240717298
10.0,20.73253808950506,10.73253808950506,0.28175601431000463,0.64,2.5491700237487773,16.0,15.62837463557871
