y_true,y_pred,abs_error,density_confidence,consistency_confidence,combined_confidence,mean_neighbor_distance,neighbor_target_std,local_mean_target
-5.0,-3.5983778740671766,1.4016221259328234,0.21325848305754647,0.08173362668865687,0.14749605487310166,3.6891452366289053,11.234866364235145,-4.666666666666667
10.0,-16.456246340213955,26.456246340213955,0.24403348036533104,0.041644784750763636,0.14283913255804734,3.0977983779231733,23.012610606221543,-14.555555555555555
10.0,13.996498582328842,3.996498582328842,0.21554628774950252,0.04978296038901542,0.13266462406925897,3.639374727539505,19.08719433689302,16.88888888888889
5.0,5.21515797879627,0.2151579787962703,0.2551642178966259,0.06997116522723676,0.16256769156193135,2.919044794929388,13.291601358251258,4.333333333333333
-25.0,-0.9781805199921355,24.021819480007863,0.20812938636692296,0.059708565781472156,0.13391897607419756,3.8047035426176867,15.748015748023622,-1.6666666666666667
-5.0,7.0145987725009205,12.014598772500921,0.22060567637475426,0.051893430731089485,0.13624955355292187,3.5329749280850256,18.27026187923431,6.444444444444445
30.0,-7.721944841563239,37.72194484156324,0.2237942162795114,0.06335847958913626,0.14357634793432383,3.4683907235164373,14.783207022718148,-7.111111111111111
-12.0,4.049063912407938,16.049063912407938,0.19580661557910864,0.045959139113073866,0.12088287734609125,4.107079743156001,20.758458041167547,1.4444444444444444
14.0,15.165203379332755,1.1652033793327554,0.18790608250293503,0.0560681374910974,0.12198710999701622,4.32180750447171,16.83544174547945,13.11111111111111
9.0,-8.85914743712227,17.859147437122267,0.2841643415642963,0.06479483437025102,0.17447958796727367,2.51909037740309,14.433329056538584,-7.888888888888889
25.0,21.506900931988252,3.493099068011748,0.2310810028286619,0.040998839652686664,0.13603992124067427,3.3274868455606605,23.39093419402346,19.555555555555557
20.0,14.39934449133899,5.60065550866101,0.12749073799980257,0.06270518210109347,0.09509796005044802,6.843707046401665,14.947645258214822,13.88888888888889
22.0,9.411006305335347,12.588993694664653,0.15555259983391634,0.05043037832477992,0.10299148907934813,5.428693580613252,18.829317828231144,7.888888888888889
3.0,17.381084048462224,14.381084048462224,0.27923160131262054,0.06174424699586911,0.17048792415424482,2.58125654581777,15.195840886470009,18.444444444444443
23.0,0.4342560564888344,22.565743943511166,0.2589565716716853,0.07468393307839563,0.16682025237504045,2.861651370901824,12.389760806387917,-1.7777777777777777
21.0,15.449743697363667,5.550256302636333,0.2555579260895756,0.05174847710674312,0.15365320159815937,2.913007181195742,18.32424016917967,13.666666666666666
-27.0,-13.523326800612228,13.476673199387772,0.1752065115597735,0.04510343704308199,0.11015497430142773,4.7075504277638665,21.171259344267224,-12.0
37.0,34.73210935909802,2.2678906409019817,0.2099582263154735,0.24002807561963083,0.22499315096755218,3.7628521994534583,3.166179299727779,34.55555555555556
12.0,3.8420891404542834,8.157910859545716,0.27848984159832074,0.0580901917030751,0.16829001665069793,2.5907952486193304,16.214610086181956,5.555555555555555
10.0,6.2983970244430125,3.7016029755569875,0.2367460467310746,0.06940085538847493,0.15307345105977477,3.2239353679089033,13.40904430359608,5.444444444444445
-17.0,23.012570672493975,40.01257067249398,0.19369101140787623,0.06338867324383962,0.1285398423258579,4.16286219340448,14.775689075448257,23.11111111111111
-4.0,25.29172737780825,29.29172737780825,0.2868998188678831,0.09157988443959478,0.18923985165373897,2.4855372301942733,9.91942849807362,25.77777777777778
16.0,-2.4907655457085625,18.490765545708562,0.2841805934790967,0.0636114504974473,0.173896021988272,2.5188891252475916,14.720440143714839,-1.4444444444444444
10.0,7.162567878120272,2.8374321218797283,0.21393059321192068,0.043404196893342614,0.12866739505263164,3.6744132523831925,22.039246699053223,9.222222222222221
-36.0,-7.3595194752821165,28.640480524717884,0.30806809458736906,0.06260152547102897,0.18533481002919902,2.246035592680945,14.974051630144135,-5.666666666666667
37.0,6.405176442945549,30.59482355705445,0.3257042535731977,0.040898079400148446,0.18330116648667308,2.070270004242555,23.451025932439514,5.222222222222222
16.0,13.280301622031184,2.7196983779688164,0.2889197783145649,0.04554775646614774,0.1672337673903563,2.4611683763346863,20.95497819400228,12.0
-33.0,-2.280330779474904,30.719669220525095,0.12590823022823103,0.05070782824985089,0.08830802923904096,6.942292558535073,18.72082091689542,-2.4444444444444446
-16.0,4.067946387063292,20.06794638706329,0.27955649699702817,0.054775795307576716,0.16716614615230244,2.577094471929338,17.256238807393046,3.6666666666666665
-15.0,27.71057803866508,42.710578038665076,0.2365556010066063,0.05441034595058995,0.14548297347859812,3.2273359656027463,17.378857596459692,26.555555555555557
